filename,before_encoding_file_size,after_encoding_file_size,encoding_date,status,processing_time_seconds
tezgahlari-boyle-atese-verdi-kundaklama-ani-guvenlik-kamerasinda-1Ty0.mp4,33946260,0,2025-06-05T15:43:08.933560,ffmpeg_timeout,180.03
son-dakika-yunanistan-selanikte-iki-tren-carpisti-onlarca-olu-cok-sayida-yarali-var-N5mE.mp4,24126995,0,2025-06-05T15:43:22.444026,ffmpeg_timeout,180.02
herkes-gitti-bir-tek-o-kaldi-enkaza-donen-mahallesini-asla-terk-etmiyor-Wk1m.mp4,41608131,0,2025-06-05T15:44:26.218681,ffmpeg_timeout,180.02
heimlich-manevrasi-ile-yasli-adamin-hayatini-boyle-kurtardi-qojr.mp4,20877589,3186912,2025-06-05T15:44:53.793699,ffmpeg_success,104.86
mehmetcikten-depremzede-9-yasindaki-emire-surpriz-dogum-gunu-kutlamasi-klmH.mp4,13888460,4463426,2025-06-05T15:46:08.626648,ffmpeg_success,74.83
unlu-sef-mehmet-yalcinkaya-msbnin-depremzedeler-icin-kurdugu-sahra-mutfaginda-AKBA.mp4,167227806,0,2025-06-05T15:46:22.465329,ffmpeg_timeout,180.02
azerbaycan-kurtarma-ekibi-ulkesine-dondu-HJzk.mp4,123639834,0,2025-06-05T15:47:26.248988,ffmpeg_timeout,180.03
lpg-tanki-bomba-gibi-patladi-savrulan-parcalar-onu-hayattan-boyle-kopardi-jiHe.mp4,11272796,1008916,2025-06-05T15:47:46.529673,ffmpeg_success,20.28
taksiciler-kontaklarini-depremzedeler-icin-cevirdi-8JYQ.mp4,31410735,0,2025-06-05T15:49:08.652320,ffmpeg_timeout,180.02
adiyamanda-yikilan-abdullah-gunaydin-camii-minaresi-apartmani-ikiye-boldu-xXDQ.mp4,70446663,0,2025-06-05T15:49:22.499266,ffmpeg_timeout,180.03
son-dakika-bakan-kasapoglu-duyurdu-super-lig-maclari-sifresiz-yayinlanacak-B3NK.mp4,22349641,8911314,2025-06-05T15:49:48.001195,ffmpeg_success,121.47
kopegini-5-kez-buldu-6-kez-caldilar-rfyW.mp4,33319218,0,2025-06-05T15:52:08.689040,ffmpeg_timeout,180.03
abdden-evsizlere-buyuk-sok-toplu-olarak-yasadiklari-bolge-yasaklandi-79ze.mp4,23025874,0,2025-06-05T15:52:22.535515,ffmpeg_timeout,180.03
hatayda-ciftlik-4-metre-asagi-coktu-sahibi-kiyamet-kopuyor-zannettim-dedi-OpYO.mp4,44139352,0,2025-06-05T15:52:48.077175,ffmpeg_timeout,180.07
sultanbeylide-itfaiyeye-yol-vermeyen-surucuye-para-cezasi-Z19n.mp4,26506450,0,2025-06-05T15:55:08.718505,ffmpeg_timeout,180.03
basina-buz-kutlesi-dusen-ozel-guvenlik-gorevlisi-oldu-alZv.mp4,55001834,0,2025-06-05T15:55:22.575123,ffmpeg_timeout,180.04
azerbaycan-kurtarma-ekibi-ulkesine-dondu-Zb5b.mp4,123639834,0,2025-06-05T15:55:48.126565,ffmpeg_timeout,180.05
istanbul-kagithanede-dehset-anlari-genc-kadini-darp-etti-havaya-ates-acti-uXYZ.mp4,50783503,0,2025-06-05T15:58:08.752099,ffmpeg_timeout,180.03
kahramanmaras-elbistanda-depremle-yarilan-tarlalardan-yuzeye-su-cikti-rHKD.mp4,20349852,0,2025-06-05T15:58:22.615487,ffmpeg_timeout,180.04
carpici-fotograf-deprem-oncesi-ve-sonra-kahramanmaras-0q6i.mp4,28525454,0,2025-06-05T15:58:48.163045,ffmpeg_timeout,180.03
son-dakika-yunanistan-selanikte-iki-tren-carpisti-onlarca-olu-cok-sayida-yarali-var-nC97.mp4,27439476,0,2025-06-05T16:01:08.793925,ffmpeg_timeout,180.04
istanbulda-dehsete-dusuren-goruntuler-bina-tel-tel-dokuluyor-0saI.mp4,67486009,0,2025-06-05T16:01:22.655479,ffmpeg_timeout,180.04
malatyada-40-saat-sonra-enkazdan-altindan-cikarilmisti-minik-aysima-kahramanlariyla-gorustu-LZQl.mp4,57920439,0,2025-06-05T16:01:48.218810,ffmpeg_timeout,180.05
deprem-firsatcilarina-ceza-yolda-lDAZ.mp4,44922481,0,2025-06-05T16:04:08.821579,ffmpeg_timeout,180.03
15-yildir-saclarini-yikamayan-kadin-umrumda-degil-QEyi.mp4,46370144,0,2025-06-05T16:04:22.675898,ffmpeg_timeout,180.02
