filename,before_encoding_file_size,after_encoding_file_size,encoding_date,status,processing_time_seconds,cloudinary_public_id
baykardan-uyari-yayinlanan-bu-ilanlara-dikkat-NHxv.mp4,15504672,3416838,2025-06-11T11:42:01.619530,success,25.16,video_optimizer/1749638496_baykardan-uyari-yayinlanan-bu-ilanlara-dikkat-NHxv
korku-dolu-anlar-pendikte-esnafa-boyle-kursun-yagdirdi-nEg9.mp4,15192955,2107613,2025-06-11T11:42:16.087868,success,15.9,video_optimizer/1749638520_korku-dolu-anlar-pendikte-esnafa-boyle-kursun-yagdirdi-nEg9
adiyamanin-tasinacagi-yer-belli-oldu-kent-buraya-insa-edilecek-Tyll.mp4,24588267,4523310,2025-06-11T11:42:20.070227,success,27.95,video_optimizer/1749638512_adiyamanin-tasinacagi-yer-belli-oldu-kent-buraya-insa-edilecek-Tyll
kaynak-suyu-camur-renginde-akmaya-basladi-ryVs.mp4,23982656,4892156,2025-06-11T11:42:33.187118,success,30.28,video_optimizer/1749638522_kaynak-suyu-camur-renginde-akmaya-basladi-ryVs
eyt-yasalasinca-dernegi-fesih-ettiler-ACmc.mp4,36899319,8992537,2025-06-11T11:43:12.984679,success,42.25,video_optimizer/1749638550_eyt-yasalasinca-dernegi-fesih-ettiler-ACmc
depremden-20-gun-sonra-ortaya-cikti-konyada-12-metre-derinligindeki-devasa-obruk-havadan-goruntulendi-Sk1A.mp4,52260493,13090585,2025-06-11T11:43:21.713346,success,64.74,video_optimizer/1749638536_depremden-20-gun-sonra-ortaya-cikti-konyada-12-metre-derinligindeki-devasa-obruk-havadan-goruntulendi-Sk1A
hatayda-88-yasindaki-ummuhan-kalkan-sag-ciktigi-enkazin-altinda-oglu-gelini-ve-torunlarini-kaybetti-WSW6.mp4,43045856,11023104,2025-06-11T11:43:47.190875,success,63.32,video_optimizer/1749638563_hatayda-88-yasindaki-ummuhan-kalkan-sag-ciktigi-enkazin-altinda-oglu-gelini-ve-torunlarini-kaybetti-WSW6
adiyamanda-depremzedelere-gunde-5-bin-durum-cig-kofte-dagitiliyor-shsv.mp4,25466548,5364037,2025-06-11T11:43:56.314234,success,33.67,video_optimizer/1749638602_adiyamanda-depremzedelere-gunde-5-bin-durum-cig-kofte-dagitiliyor-shsv
120-kisiye-mezar-olan-eda-apartmani-ile-ilgili-kahreden-detay-ortaya-cikti-xANz.mp4,39715800,9442568,2025-06-11T11:44:27.433009,success,39.76,video_optimizer/1749638627_120-kisiye-mezar-olan-eda-apartmani-ile-ilgili-kahreden-detay-ortaya-cikti-xANz
bakan-vedat-bilginden-flas-eyt-aciklamasi-maaslar-nisan-ayinda-WP92.mp4,53551235,13915371,2025-06-11T11:44:29.614847,success,76.1,video_optimizer/1749638593_bakan-vedat-bilginden-flas-eyt-aciklamasi-maaslar-nisan-ayinda-WP92
adanada-bir-bina-is-makinesinin-kucuk-donusuyla-yerin-dibine-girdi-Y9xH.mp4,44053125,10569209,2025-06-11T11:44:55.650432,success,48.64,video_optimizer/1749638647_adanada-bir-bina-is-makinesinin-kucuk-donusuyla-yerin-dibine-girdi-Y9xH
